Geometria,Distance(cm),Material,Campo,Historias,Energy(eV),Seed1,Seed2,Filtro,ROI1,Erro ROI1,ROI2,Erro ROI2,ROI3,Erro ROI3,ROI4,Erro ROI4,ROI5,Erro ROI5,ROI6,Erro ROI6,ROI7,Erro ROI7,ROI8,Erro ROI8,ROI9,Erro ROI9,Simuladas
20cm_C.geo,75,CR.mat,30x30,2000000000.0,80,1486969425,841004670,00Cu,3.84127,0.0092517,4.0529,0.00952785,4.43768,0.0099683,5.44814,0.01097195,5.62233,0.0111394,5.56133,0.0110729,5.45141,0.0109636,5.61317,0.0111088,5.46941,0.01098005,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,90,1177251846,844216936,00Cu,4.78921,0.0105976,5.06057,0.0109089,5.46992,0.01133545,6.62893,0.0123991,6.85082,0.0125953,6.79334,0.0125444,6.61988,0.0123678,6.85054,0.0125661,6.64661,0.0123934,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,100,816185542,858672133,00Cu,6.62863,0.01275275,6.9944,0.0131311,7.48719,0.01356845,8.96996,0.0147601,9.27636,0.014994,9.13152,0.0148725,8.90742,0.0146787,9.19703,0.0149021,8.91516,0.01468095,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,110,496198218,2131422069,00Cu,7.38463,0.01367595,7.77394,0.01406885,8.2669,0.01447595,9.8902,0.0157314,10.1851,0.01594935,10.0313,0.0158348,9.75137,0.01559575,10.0785,0.01583705,9.8066,0.01562995,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,120,805915797,1261507005,00Cu,8.04093,0.01447885,8.448,0.0148644,8.95602,0.0152824,10.6153,0.01651365,10.9288,0.01673885,10.8365,0.0166714,10.5149,0.0164137,10.8852,0.01667865,10.4954,0.01639035,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,130,196750384,2124997537,00Cu,8.55511,0.01510785,9.04485,0.0155649,9.53296,0.01595555,11.2727,0.01721225,11.6505,0.0174895,11.4568,0.01733885,11.1138,0.0170707,11.5197,0.01735055,11.1659,0.0171004,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,140,588625923,1709313601,00Cu,8.96844,0.01559325,9.4337,0.01601445,9.95815,0.01643665,11.7321,0.0176912,12.1681,0.01800575,11.9478,0.01783895,11.57,0.01754145,11.9657,0.01782535,11.6171,0.01757835,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,150,1146442611,426926867,00Cu,9.253,0.01590315,9.75791,0.0163607,10.2478,0.01673415,12.0821,0.0180416,12.5361,0.0183547,12.2958,0.0181738,11.9367,0.01790345,12.366,0.0181793,11.9308,0.01787645,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,40,877804012,1707707468,10Cu,1.47992,0.00494399,1.54406,0.00506245,1.82391,0.00552565,2.5563,0.00655565,2.6117,0.00662405,2.62542,0.0066419,2.63947,0.0066585,2.70581,0.00674055,2.6346,0.0066534,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,50,1115633376,1686827739,10Cu,3.83643,0.0085238,4.06743,0.0088039,4.62298,0.00941545,5.92572,0.0106566,6.09476,0.0108031,6.06806,0.0107852,5.99875,0.01071975,6.17932,0.01086915,6.01885,0.0107353,2000000000.0
